,NERC,State,Code,utility_id_eia,utility_id_ferc1,utility_name_ferc1,utility_name_eia,disposition_of_energy,energy_losses,internal_use_energy,megawatt_hours_sold_sales_to_ultimate_consumers,report_year,load_dispatching,power_production_expenses_hydraulic_power,power_production_expenses_nuclear_power,power_production_expenses_other_power,power_production_expenses_steam_power,administrative_and_general_expenses,administrative_and_general_operation_expense,administrative_and_general_salaries,distribution_expenses,distribution_maintenance_expense_electric,maintenance_of_line_transformers,maintenance_of_meters,maintenance_of_miscellaneous_distribution_plant,maintenance_of_overhead_lines,maintenance_of_station_equipment,maintenance_of_structures_distribution_expense,maintenance_of_underground_lines,maintenance_supervision_and_engineering,distribution_operation_expenses_electric,transmission_expenses,regional_market_expenses,sales_expenses,administrative_and_general_expenses.1,customer_account_expenses,customer_service_and_information_expenses,transmission_maintenance_expense_electric,transmission_operation_expense,underground_line_expenses,overhead_line_expenses,overhead_line_expense,purchased_power,power_production_expenses,transmission_line_length_miles,transmission_line_and_structures_length_miles,num_transmission_circuits,capex_land,capex_other,capex_total,opex_operations,opex_maintenance,opex_rents,opex_total,avg_customers_per_month,sales_mwh,sales_for_resale,residential_sales,sales_to_ultimate_consumers,sales_to_railroads_and_railways,public_street_and_highway_lighting,other_sales_to_public_authorities,miscellaneous_service_revenues,small_or_commercial,electric_operating_revenues,other_electric_revenue,other_operating_revenues,large_or_industrial,forfeited_discounts,sales_of_electricity,,,,revenues_from_transmission_of_electricity_of_others,
320,Western,California,CA,17609,155,Southern California Edison Company,Southern California Edison Co,83057980,8596113,166090,71481575,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20036.26,4535.9,2306,343804590,2297136944,2640941534,4569628,24523502,1552060,30645190,,,,,,,,,,,,,,,,,,,,,#DIV/0!
321,Western,California,CA,17609,155,Southern California Edison Company,Southern California Edison Co,84465118,8628055,265044,73784991,1996,,22514119,325815687,46449072,660443126,589830067,576188826,130499783,161688477,82135819,1339934,912648,23145148,30011279,5451833,2153919,6721804,8903650,79552658,68031586,,492613,589830067,156296749,97968949,28293844,39737742,2272479,4491642,1340027,2705318342,3761031690,20011.12,4524.02,418,364138550,2352006998,2716145548,4766880,21132534,3389148,29288562,12604758,295139964,89420031,2912739138,7273010844,3389922,61171536,9461472,21824838,2655542388,7571049023,120428643,208618148,1630580585,6892759,7362430875,,,,,0
322,Western,California,CA,17609,155,Southern California Edison Company,Southern California Edison Co,87099847,9660613,205068,76056556,1997,,24021590,368132522,48646822,909488394,570899145,559473363,120725713,177923241,103239506,722071,1423503,26648227,47366688,10245516,2663169,8624923,1500300,74683735,71952441,,15266003,570899145,183902257,98061695,29131955,42820486,2537346,6520640,2014920,2853523573,4204198282,19917.88,4554.16,2304,370081846,2373006914,2743088760,6193886,26514496,2970850,35679232,16938428,304226224,89499522,3049066839,7639417138,3156753,63967763,9837355,22773696,2857371743,7933448828,114128863,204532168,1655899294,6631310,7728916660,,,,,0
323,Western,California,CA,17609,155,Southern California Edison Company,Southern California Edison Co,79540737,2794083,151542,76257869,1998,,22411606,362479790,10108799,317976123,544921007,536120419,107367471,203753593,127748275,591168,1346596,43108114,52359684,12687608,849697,10681128,1472990,76005318,192363969,,7976998,544921007,241385187,97933376,32997107,159366862,3045085,6690860,1955078,3261804383,4041945470,19846.46,4548.26,2306,370462304,2414851662,2785313966,5956430,30394192,3028376,39378998,17135984,305031476,53654249,2777265798,7104799979,3435858,62569346,9934549,24219532,2725750031,7382750715,125355461,224296487,1525793289,6941758,7158454228,,,,,0
324,Western,California,CA,17609,155,Southern California Edison Company,Southern California Edison Co,79032570,277641,153003,78206526,1999,,23537586,334732043,3634682,205718848,542398689,534851142,114268269,179610761,96185651,1979213,1836611,13936202,51137737,8535900,1915072,10528000,1396383,83425110,204709009,,7940048,542398689,212439334,101462670,26884036,177824973,2018123,6900920,2022926,3176586388,3831121955,19984.92,4546.68,2310,372487184,2506902318,2879389502,7462118,27270244,2888092,37620454,17083660,312826104,11853132,2786685567,7057310463,3435801,63759567,11691816,23687611,2787884115,7330584038,162309834,261420443,1403853157,6857702,7069163595,,,,,0
325,Western,California,CA,17609,155,Southern California Edison Company,Southern California Edison Co,81021447,6192628,147604,73685952,2000,,24986357,340888752,10766138,170720013,499985946,490836622,182448650,201689254,98499457,1562607,1409092,15486593,51583768,8498228,587821,13720421,1325434,103189797,98150456,,4278845,499985946,194909114,104411899,26188668,71961788,2081068,14619610,2085316,4684154624,5346628935,19972.14,4585.68,2310,372250874,2545026544,2917277418,14762286,22517802,3286824,40566912,17299020,333740444,69175613,3004127666,7307381166,3553413,63561694,9078881,25558156,2794485634,7695586360,219383619,319029581,1432507813,9239250,7376556779,,,,,0
326,Western,California,CA,17609,155,Southern California Edison Company,Southern California Edison Co,61064476,8846608,113850,52033674,2001,,28022352,305087068,13386883,200638536,565246807,557629596,149318220,200453210,101909428,1492236,1617195,12592706,58379478,8819224,375793,11652428,1447997,98543782,151231411,,5751270,565246807,192153235,128875310,21424832,129806579,2961786,17322895,2374460,3767231840,4407930122,21949.9,4593.34,2334,370957914,2586098670,2957056584,11169720,22731406,2766390,36667516,17792096,313814496,27231526,2729058576,7675879105,5277610,72832080,2498280,25430788,3936432329,8035505738,229248251,332395107,929728315,11994374,7703110631,,,,,0
327,Western,California,CA,17609,155,Southern California Edison Company,Southern California Edison Co,57819193,3269642,126693,54391384,2002,,29363340,355215857,23821112,219683974,647953621,638739976,213990319,251208251,130296548,1811949,1746702,13718480,81878678,9030412,510615,14984471,1764521,120911703,127226964,,5679750,647953621,186362648,124089085,25567359,101659605,5171920,17355304,2836968,2013804381,2756261377,19900.6,4608.92,2338,371463168,2641180472,3012643640,14109082,28166984,1421598,43697664,18024380,318645116,17210724,2956629985,8608129251,7774712,77623934,7609686,27105822,4569536939,8906403096,178512872,281063121,988908061,10592563,8625339975,,,,,0
328,Western,California,CA,17609,155,Southern California Edison Company,Southern California Edison Co,69570767,6646507,120140,52229092,2003,,29432198,346790134,17932537,209414576,722728384,712990698,215887483,272761773,147248520,2367531,2247986,28019966,82039343,7751876,584026,16896407,1569668,125513253,140744888,,4279872,722728384,222508120,181446257,25300627,115444261,4981237,13339543,3705853,2783792568,3503704135,19880.66,4621.92,2372,372170440,2714984386,3087154826,14085026,24307134,4433214,42825374,18273968,328750004,411127014,2857510794,7795373451,6567726,69679672,5200928,28038569,4071317823,8530766878,223892924,324266413,785039169,8228040,8206500465,,,,,0
329,Western,California,CA,17609,155,Southern California Edison Company,Southern California Edison Co,67776097,5756487,117970,49122593,2004,,32183029,411469412,19474108,217540098,750109188,740093215,287911617,413760015,257342769,2055949,1981990,14318440,204654847,9301062,481299,17344972,1796625,156417246,228981024,,8712596,750109188,197611277,205342794,25956505,203024519,4988023,21671510,4584586,2998764007,3791405720,19889.6,4621.92,2394,374272782,2784049278,3158322060,14607720,26563516,1693126,42864362,18538576,337975880,574703844,2644034732,6959346839,5271684,62431088,786456,31814311,3577637048,7884540497,239515156,350489814,669113088,9039541,7534050683,,,,,0
