ferc,eia
Access Energy Cooperative,
Adirondack Hydro Development Corporation,
"AEP Appalachian Transmission Company, Inc.",
AEP Generating Company,AEP Generating Co
AEP Generation Resources Inc.,AEP Generation Resources Inc
"AEP Indiana Michigan Transmission Company, Inc.",
"AEP Kentucky Transmission Company, Inc.",
"AEP Ohio Transmission Company, Inc.",
"AEP Oklahoma Transmission Company, Inc.",
"AEP Southwestern Transmission Company, Inc.",
AEP Texas Central Company,AEP Texas Central Company
AEP Texas North Company,
"AEP West Virginia Transmission Company, Inc.",
AJO Improvement Company,Ajo Improvement Co
ALABAMA POWER COMPANY,Alabama Power Co
Alaska Electric Light and Power Company,Alaska Electric Light & Power Co.
Alcoa Generating Corporation,Alcoa Inc
Alcoa Power Generating Inc.,Alcoa Power Generating Inc Yadkin Div
"Alfalfa Electric Cooperative, Inc.",
"ALLETE, Inc.",ALLETE Inc
Amerada Hess Corporation,
Ameren Transmission Company of Illinois,
American Transmission Company LLC,American Transmission Co
"American Transmission Systems, Incorporated",American Transmission Systems Inc
Appalachian Power Company,Appalachian Power Co
APS Energy Services Company,
Arizona Public Service Company,Arizona Public Service Co
AROOSTOOK VALLEY ELECTRIC COMPANY,
Atlantic City Electric Company,Atlantic City Electric Co
Attala Transmission LLC,
Avista Corporation,Avista Corporation
Baltimore Gas and Electric Company,Baltimore Gas & Electric Co
Beacon Power Corporation,Beacon Power Corporation
BeeBee Island Corporation,Beebee Island Corporation
Berea College Utilities,Berea College
Big Rivers Electric Corporation,Big Rivers Electric Corp
"Black Creek Hydro, Inc.",Black Creek Hydro Inc
"Black Hills Power, Inc.",
"Black Hills/Colorado Electric Utility Company, LP",
Blackstone Valley Electric Company,Blackstone Valley Electric Co
Boston Edison Company,Boston Edison Co
"Bridger Valley Electric Association, Inc.",
"Buckeye Power, Inc.",Buckeye Power Inc
California Independent System Operator Corporation,
California Power Exchange Corporation,
Cambridge Electric Light Company,Cambridge Electric Light Co
CANAL ELECTRIC COMPANY,Canal Electric Co
"Carr Street Generating, L.P.",Carr Street Generating Sta LP
Catalyst Old River Hydroelectric Limited Partnership,
"CenterPoint Energy Houston Electric, LLC",
CENTRAL HUDSON GAS & ELECTRIC CORPORATION,
Central Illinois Light Company,Central Illinois Light Co
Central Illinois Public Service Company,
Central Maine Power Company,Central Maine Power Co
Central Vermont Public Service Corporation,
Century Power Corporation,
Chattahoochee EMC,
"Cheyenne Light, Fuel and Power Company",Cheyenne Light Fuel & Power Co
"Chugach Electric Association, Inc.",
CITIZENS COMMUNCIATIONS COMPANY,
Citizens Electric Corporation,Citizens Electric Corp
Citizens Sunrise Transmission LLC.,
CITIZENS' ELECTRIC COMPANY,Citizens Electric Co
Clark Fork & Blackfoot LLC,
Cleco Power LLC,CLECO Power LLC
"Cleveland Electric Illuminating Company, The",
Columbus Southern Power Company,Columbus Southern Power Co
Commonwealth Edison Company,Commonwealth Edison Co
"Commonwealth Edison Company of Indiana, Inc.",
Commonwealth Electric Company,Commonwealth Electric Co
"Connecticut Light and Power Company, The",Connecticut Light & Power Co
Connecticut Valley Electric Company Inc.,Connecticut Valley Elec Co Inc
Connecticut Yankee Atomic Power Company,Connecticut Yankee Atom Pwr Co
Connexus Energy,
"Consolidated Edison Company of New York, Inc.",
Consolidated Water Power Company,Consolidated Water Power Co
Consumers Energy Company,Consumers Energy Co
"Cross Sound Cable Company, LLC",
"DATC Path 15, LLC",
Delmarva Power & Light Company,Delmarva Power & Light Co
"Delta Natural Gas Company, Inc.",
Deseret Generation & Transmission Cooperative,
Dixie-Escalante Rural Electric Association,
"Dixie-Escalante Rural Electric Association, Inc.",
DTE Electric Company,The DTE Electric Company
"Duke Energy Carolinas, LLC",Duke Energy Carolinas LLC
"Duke Energy Florida, Inc.",
"Duke Energy Indiana, Inc.",
"Duke Energy Kentucky, Inc.","Duke Energy Kentucky, Inc."
Duke Energy Moss Landing LLC,Duke Energy Moss Landing LLC
Duke Energy Oakland LLC,Duke Energy Oakland LLC
"Duke Energy Ohio, Inc.",
"Duke Energy Progress, Inc.",
Duquesne Light Company,Duquesne Light Co
"EAM Nelson Holding, LLC",
"East Texas Electric Cooperative, Inc.","East Texas Electric Coop, Inc"
Eastern Edison Company,Eastern Edison Co
Edison Sault Electric Company,Edison Sault Electric Co
El Paso Electric Company,El Paso Electric Co
"Electric Energy, Inc.",Electric Energy Inc
Emera Maine,
"Entergy Arkansas, Inc.",Entergy Arkansas LLC
"Entergy Gulf States Louisiana, L.L.C.",Entergy Gulf States Louisiana LLC
"Entergy Louisiana, LLC",Entergy Louisiana Inc
"Entergy Louisiana, LLC",Entergy Louisiana Inc
"entergy mississippi, llc",Entergy Mississippi LLC
"entergy new orleans, llc","Entergy New Orleans, LLC"
"Entergy Power Ventures, LP",Entergy Power Ventures LP
"Entergy Power, LLC",
"Entergy Texas, Inc.",Entergy Texas Inc.
"evergy kansas south, inc.","Evergy Kansas South, Inc"
"EWO Marketing, LLC",
Exeter & Hampton Electric Company,Exeter & Hampton Electric Co
"Fall River Electric Cooperative, Inc",
First Electric Cooperative Corporation,
Fitchburg Gas and Electric Light Company,
"Florida Keys Electric Cooperative Assoc., Inc.",
Florida Power & Light Company,Florida Power & Light Co
"Flowell Electric Association, Inc.",
Georgia Power Company,
"Golden Spread Electric Cooperative, Inc.",
Golden State Water Company,Golden State Water Company
"Graham County Electric Cooperative, Inc.",
Great Bay Power Corporation,Great Bay Power Corporation
Green Mountain Power Corp,Green Mountain Power Corp
GRIDAMERICA LLC,
Gulf Power Company,
Hagerstown Light Department,
Hardee Power Partners Limited,Hardee Power Partners Ltd
Harney Electric Cooperative,
"Hawaii Electric Light Company, Inc.",Hawaii Electric Light Co Inc
"Hawaiian Electric Company, Inc.",Hawaiian Electric Co Inc
"Hermiston Generating Company, L.P.",Hermiston Generating Co LP
Holyoke Power and Electric Company,Holyoke Power & Electric Co
Holyoke Water Power Company,Holyoke Water Power Co
Idaho County Light & Power Coop. Assoc. Inc.,
Idaho Power Company,
IES Utilities Inc.,
Illinois Power Company,
Illinois Power Generating Company,
Indiana Michigan Power Company,Indiana Michigan Power Co
Indiana-Kentucky Electric Corporation,Indiana-Kentucky Electric Corp
Indianapolis Power & Light Company,Indianapolis Power & Light Co
Inland Power & Light Company,Inland Power & Light Co
International Transmission Company,
International Transmission Company,
Interstate Power and Light Company,Interstate Power and Light
Interstate Power Company,Interstate Power Co
Iowa-Illinois Gas and Electric Company,Iowa-Illinois Gas&Electric Co
ISO New England Inc.,
"ITC Great Plains, LLC",ITC Great Plains
ITC Midwest LLC,ITC Midwest LLC
Jersey Central Power & Light Company,
Kanawha Valley Power Company,Kanawha Valley Power Co
Kandiyohi  Power Cooperative,
Kansas City Power & Light Company,
KCP&L Greater Missouri Operations Company,KCP&L Greater Missouri Operations
Kentucky Power Company,Kentucky Power Co
Kentucky Utilities Company,Kentucky Utilities Co
KeySpan Generation LLC,
Kingsport Power Company,Kingsport Power Co
Liberty Utilities (Granite State Electric) Corp.,
Lockhart Power Company,Lockhart Power Co
"Long Sault, Inc.",Long Sault Inc
Louisville Gas and Electric Company,Louisville Gas & Electric Co
Lyon Rural Electric Cooperative,
Madison Gas and Electric Company,Madison Gas & Electric Co
"Maine Electric Power Company, Inc.",Maine Electric Power Co Inc
Maine Public Service Company,Maine Public Service Co
Maine Yankee Atomic Power Company,Maine Yankee Atomic Power Co
Massachusetts Electric Company,
"MAUI ELECTRIC COMPANY, LIMITED",
McDonough Power Cooperative,
"MDU Resources Group, Inc.",MDU Resources Group Inc
Medina Power Company,
Metropolitan Edison Company,Metropolitan Edison Co
Michigan Electric Transmission Company (04/02),Michigan Electric Transmission Company
Michigan Electric Transmission Company LLC (10/06),Michigan Electric Transmission Company
Michigan Electric Transmission Company LLC (12/9/03),Michigan Electric Transmission Company
"Michigan Electric Transmission Company, LLC",Michigan Electric Transmission Company
MidAmerican Energy Company,MidAmerican Energy Co
"Midcontinent Independent System Operator, Inc",
"Midwest Electric Power, Inc",Midwest Electric Power Inc
Midwest Energy Inc.,Midwest Energy Inc
Midwest Power Systems Inc.,"Midwest Power Systems, Inc"
Mississippi Power Company,Mississippi Power Co
MONONGAHELA POWER COMPANY,Monongahela Power Co
"Montana Power Company, The",
Montana-Dakota Utilities Company,Montana-Dakota Utilities Co
Montaup Electric Company,Montaup Electric Co
"Moon Lake Electric Association, Inc.",Moon Lake Electric Assn Inc
Moreau Manufacturing,Moreau Manufacturing Corp
"Mountainview Power Company, LLC",
Mt. Carmel Public Utility Co,Mt Carmel Public Utility Co
"Mt. Wheeler Power, Inc.",Mt Wheeler Power Inc
"Mt. Wheeler Power, Inc.",Mt Wheeler Power Inc
Nantahala Power and Light Company,Nantahala Power & Light Co
Nantucket Electric Company,Nantucket Electric Co
National Grid Generation LLC,National Grid Generation LLC
"Nevada Power Company, d/b/a NV Energy",Nevada Power Company DBA NV Energy
Nevada Sun-Peak Limited Partnership,Nevada Sun-Peak Ltd Partners
New England Electric Transmission Corporation,
"New England Hydro-Trans. Elec. Co., Inc.",New England Hydro Trans Elec
New England Hydro-Transmission Corporation,New England Hydro Trans Elec
New England Power Company,New England Power Co
"New Hampshire Electric Cooperative, Inc.",
"New Hampshire Transmission, LLC",
New York Independent System Operator,
New York State Electric & Gas Corporation,New York State Electric  & Gas
"Newcorp Resources Electric Cooperative, Inc.",
Newport Electric Corporation,
Niagara Mohawk Power Corporation,Niagara Mohawk Power Corp
North Atlantic Energy Corporation,North Atlantic Energy Corp
"North Central Missouri Electric Cooperative, Inc.",
"North Central Power Co., Inc.",North Central Power Co Inc
North West Rural Electric Cooperative,
Northeast Generation Company,
Northern Indiana Public Service Company,
"Northern Maine Independent System Administrator, Inc",
Northern States Power Company (Minnesota),
Northern States Power Company (Wisconsin),Northern States Power Co - Wisconsin
NorthWestern Corporation,
NorthWestern Corporation,
Northwestern Wisconsin Electric Company,Northwestern Wisconsin Elec Co
Ocean State Power,Ocean State Power Company
"Ocean State Power, II",Ocean State Power II
Oconto Electric Cooperative,
Ohio Edison Company,
Ohio Power Company,
Ohio Valley Electric Corporation,Ohio Valley Electric Corp
Oklahoma Gas and Electric Company,Oklahoma Gas & Electric Co
Old Dominion Electric Cooperative,Old Dominion Electric Coop
"Omya, Inc.",Omya Inc
Oncor Electric Delivery Company LLC,"Oncor Electric Delivery Company, LLC"
"Orange and Rockland Utilities, Inc",
"Oregon Trail Electric Consumers Coop, Inc.",
Otter Tail Power Company,Otter Tail Power Co
PACIFIC GAS AND ELECTRIC COMPANY,Pacific Gas & Electric Co.
Pacific Northwest Generating Cooperative,
PacifiCorp,PacifiCorp
"Path Allegheny Transmission Company, LLC",
"Path West Virginia Transmission Company, L.L.C.",
PECO Energy Company,
Pennsylvania Electric Company,Pennsylvania Electric Co
Pennsylvania Power Company,Pennsylvania Power Co
Penoyer Valley Electric Company,Penoyer Valley Electric Coop
Peoples Electric Cooperative,
"Pepperell Power Association, Limited Partnership",
"Perryville Energy Partners, L.L.C",Perryville Energy Partners
Pike County Light and Power Company,Pike County Light & Power Co
Pinnacle West Capital Corporation,Pinnacle West Capital Corp
Pinnacle West Marketing & Trading Co. LLC,
Pioneer Power and Light Company,Pioneer Power & Light Co
"PJM Interconnection, LLC",PJM Interconnection LLC
"PJM Settlement, Inc.",
Platte-Clay Electric Cooperative Inc.,Platte-Clay Electric Coop Inc
Portland General Electric Company,Portland General Electric Co
Potomac Electric Power Company,Potomac Electric Power Co
PPL Electric Utilities Corporation,
"Prairie Wind Transmission, LLC",
PSEG Energy Resources & Trade LLC,
PSEG Fossil LLC,PSEG Fossil LLC
PSEG Nuclear LLC,PSEG Nuclear LLC
PSEG Power LLC,PSEG Power LLC
PSEG Power New York Inc.,PSEG Power New York Inc
Public Service Company of Colorado,Public Service Co of Colorado
Public Service Company of New Hampshire,
Public Service Company of New Mexico,
