,ferc,eia
0,Access Energy Cooperative,A B Energy Inc
1,Adirondack Hydro Development Corporation,Allegheny Hydro No 8 LP
2,"AEP Appalachian Transmission Company, Inc.",AES Shady Point Inc
3,AEP Generating Company,AEP Generating Co
4,AEP Generation Resources Inc.,AEP Generation Resources Inc
5,"AEP Indiana Michigan Transmission Company, Inc.",AES Shady Point Inc
6,"AEP Kentucky Transmission Company, Inc.",AES Shady Point Inc
7,"AEP Ohio Transmission Company, Inc.",AES Shady Point Inc
8,"AEP Oklahoma Transmission Company, Inc.",AES Shady Point Inc
9,"AEP Southwestern Transmission Company, Inc.",AES Shady Point Inc
10,AEP Texas Central Company,AEP Texas Central Company
11,AEP Texas North Company,North Carolina Electric Member Corp
12,"AEP West Virginia Transmission Company, Inc.",AES Shady Point Inc
13,AJO Improvement Company,Ajo Improvement Co
14,ALABAMA POWER COMPANY,Alabama Power Co
15,Alaska Electric Light and Power Company,Alaska Electric Light & Power Co.
16,Alcoa Generating Corporation,Alcoa Inc
17,Alcoa Power Generating Inc.,Alcoa Power Generating Inc Yadkin Div
18,"Alfalfa Electric Cooperative, Inc.",AES Shady Point Inc
19,"ALLETE, Inc.",ALLETE Inc
20,Amerada Hess Corporation,PPL Corporation
21,Ameren Transmission Company of Illinois,Abbeville City of
22,American Transmission Company LLC,American Transmission Co
23,"American Transmission Systems, Incorporated",American Transmission Systems Inc
24,Appalachian Power Company,Appalachian Power Co
25,APS Energy Services Company,North American Energy Services Company
26,Arizona Public Service Company,Arizona Public Service Co
27,AROOSTOOK VALLEY ELECTRIC COMPANY,A & N Electric Coop
28,Atlantic City Electric Company,Atlantic City Electric Co
29,Attala Transmission LLC,AES Cypress LLC
30,Avista Corporation,Avista Corporation
31,Baltimore Gas and Electric Company,Baltimore Gas & Electric Co
32,Beacon Power Corporation,Beacon Power Corporation
33,BeeBee Island Corporation,Beebee Island Corporation
34,Berea College Utilities,Berea College
35,Big Rivers Electric Corporation,Big Rivers Electric Corp
36,"Black Creek Hydro, Inc.",Black Creek Hydro Inc
37,"Black Hills Power, Inc.",A B Energy Inc
38,"Black Hills/Colorado Electric Utility Company, LP",Utility com
39,Blackstone Valley Electric Company,Blackstone Valley Electric Co
40,Boston Edison Company,Boston Edison Co
41,"Bridger Valley Electric Association, Inc.",AES Shady Point Inc
42,"Buckeye Power, Inc.",Buckeye Power Inc
43,California Independent System Operator Corporation,Allegheny Power System Inc
44,California Power Exchange Corporation,Alabama Power Co
45,Cambridge Electric Light Company,Cambridge Electric Light Co
46,CANAL ELECTRIC COMPANY,Canal Electric Co
47,"Carr Street Generating, L.P.",Carr Street Generating Sta LP
48,Catalyst Old River Hydroelectric Limited Partnership,AES WR Ltd Partnership
49,"CenterPoint Energy Houston Electric, LLC",AES Cypress LLC
50,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,A & N Electric Coop
51,Central Illinois Light Company,Central Illinois Light Co
52,Central Illinois Public Service Company,AHA Macav Power Service
53,Central Maine Power Company,Central Maine Power Co
54,Central Vermont Public Service Corporation,Adrian Public Utilities Comm
55,Century Power Corporation,Alabama Power Co
56,Chattahoochee EMC,Smarr EMC
57,"Cheyenne Light, Fuel and Power Company",Cheyenne Light Fuel & Power Co
58,"Chugach Electric Association, Inc.",AES Shady Point Inc
59,CITIZENS COMMUNCIATIONS COMPANY,Citizens Electric Co
60,Citizens Electric Corporation,Citizens Electric Co
61,Citizens Sunrise Transmission LLC.,AES Cypress LLC
62,CITIZENS' ELECTRIC COMPANY,Citizens Electric Corp
