,disposition_of_energy,energy_losses,internal_use_energy,megawatt_hours_sold_sales_to_ultimate_consumers,utility_id_ferc1,report_year,load_dispatching,administrative_and_general_expenses,administrative_and_general_operation_expense,administrative_and_general_salaries,distribution_expenses,distribution_maintenance_expense_electric,distribution_operation_expenses_electric,transmission_expenses,transmission_maintenance_expense_electric,transmission_operation_expense,underground_line_expenses,overhead_line_expenses,overhead_line_expense,transmission_line_length_miles,transmission_line_and_structures_length_miles,num_transmission_circuits,capex_land,capex_other,capex_total,opex_operations,opex_maintenance,opex_rents,opex_total
0,1314810.0,51561.0,5274.0,1257975.0,2,1994,440467.0,9930284.0,9666993.0,2808540.0,6314546.0,2287014.0,4027532.0,416205.0,285025.0,131180.0,65534.0,201284.0,17018.0,94.28,0.0,42.0,2381682.0,13596116.0,15977798.0,263672.0,0.0,0.0,263672.0
1,1325209.0,3620.0,5501.0,1316088.0,2,1995,433738.0,8626037.0,8426534.0,2558188.0,6767552.0,2810032.0,3957520.0,473426.0,273578.0,199848.0,149919.0,250726.0,14156.0,94.28,0.0,42.0,2381682.0,13598142.0,15979824.0,356224.0,0.0,0.0,356224.0
2,1303131.0,41748.0,4405.0,1256978.0,2,1996,393147.0,8802538.0,8637842.0,2269707.0,6532478.0,2659640.0,3872838.0,576272.0,326184.0,250088.0,203085.0,243561.0,8066.0,94.28,0.0,42.0,2518824.0,15567100.0,18085924.0,18498.0,542438.0,0.0,560936.0
3,1322127.0,29372.0,3639.0,1289116.0,2,1997,423658.0,9241069.0,9073275.0,2460597.0,6532145.0,2614598.0,3917547.0,616112.0,355607.0,260505.0,174717.0,225951.0,13810.0,94.28,0.0,42.0,5004770.0,13768888.0,18773658.0,27620.0,252552.0,0.0,280172.0
4,1346884.0,52603.0,3410.0,1290871.0,2,1998,501284.0,9518025.0,9294857.0,2912962.0,6462847.0,2351272.0,4111575.0,372504.0,133217.0,239287.0,214737.0,278410.0,30491.0,94.28,0.0,42.0,5004770.0,13768888.0,18773658.0,60982.0,93952.0,0.0,154934.0
5,1380547.0,36893.0,2837.0,1340817.0,2,1999,451531.0,10348480.0,10068687.0,3848233.0,6527221.0,2657251.0,3869970.0,508690.0,222531.0,286159.0,230962.0,376128.0,51713.0,94.28,0.0,42.0,5004770.0,13771174.0,18775944.0,103426.0,277230.0,0.0,380656.0
6,454851.0,9518.0,892.0,444441.0,2,2000,179936.0,4348067.0,4243608.0,1972233.0,2288194.0,1006289.0,1281905.0,88024.0,10125.0,77899.0,96758.0,83470.0,4720.0,94.28,0.0,42.0,5004770.0,13771174.0,18775944.0,9440.0,1436.0,0.0,10876.0
7,16884331.0,1005627.0,102567.0,12683109.0,3,1994,2846485.0,153728375.0,152778455.0,35741833.0,77016493.0,29650697.0,47365796.0,27491813.0,4692279.0,22799534.0,9374293.0,4885139.0,33141.0,891.66,141.12,158.0,19135152.0,395718862.0,414854014.0,8355570.0,9384558.0,32141904.0,49882032.0
8,17497123.0,1011340.0,107516.0,12838311.0,3,1995,2541433.0,175480594.0,174652946.0,33111297.0,78546963.0,28418230.0,50128733.0,23312288.0,1769397.0,21542891.0,5199091.0,4235109.0,39023.0,894.92,141.12,158.0,19135152.0,404809074.0,423944226.0,7268752.0,3538794.0,31609256.0,42416802.0
9,18054671.0,1038139.0,98477.0,13049578.0,3,1996,3625612.0,126868264.0,126868264.0,25684127.0,74191044.0,20660237.0,53530807.0,19946329.0,2197954.0,17748375.0,12428531.0,13298695.0,286935.0,894.54,141.12,158.0,19135152.0,409786426.0,428921578.0,3891926.0,4395908.0,29140170.0,37428004.0
10,18588267.0,1057001.0,89583.0,13156541.0,3,1997,3608996.0,125657571.0,125657571.0,28584583.0,78232991.0,26557592.0,51675399.0,27006099.0,2770781.0,24235318.0,11606714.0,8011523.0,266655.0,874.14,141.12,158.0,19135152.0,416253904.0,435389056.0,4860950.0,5541562.0,28884094.0,39286606.0
11,18991209.0,1079544.0,62600.0,13416546.0,3,1998,4189841.0,106924291.0,106924291.0,27431581.0,79370513.0,24373029.0,54997484.0,30860109.0,4074597.0,26785512.0,8280855.0,7414979.0,134973.0,874.14,141.12,158.0,19135152.0,424906522.0,444041674.0,5832400.0,8149194.0,26653942.0,40635536.0
12,16869404.0,1106182.0,53300.0,14049582.0,3,1999,5346847.0,106039480.0,104118509.0,28652596.0,71214727.0,25507681.0,45707046.0,47375093.0,4904116.0,42470977.0,6173988.0,5790843.0,35494.0,879.26,141.12,162.0,19328952.0,431626522.0,450955474.0,9265968.0,9808232.0,25691800.0,44766000.0
13,16716892.0,1046464.0,46700.0,14502919.0,3,2000,5089494.0,77657412.0,77666534.0,23726346.0,81209736.0,28310496.0,52899240.0,73039849.0,2819392.0,70220457.0,6251064.0,4649940.0,35786.0,892.8,141.12,168.0,19329100.0,446377504.0,465706604.0,13774384.0,5638784.0,24447442.0,43860610.0
