report_year,utility_id_ferc1,utility_name_ferc1,seller_name,,Demand Charges,Average Monthly Billing Demand (MW),Energy Charges,Energy Purchased (MWh),Other Charges,purchase_type_code,Total Settlemrent ($),state,Demand Price ($/monthly avg MW),Energy Price ($/MWh)
1994,4,Cambridge Electric Light Company,canal electric unit #1 (a),,1353711,28,2870033,129331,,LU,4223744,MA,48346.82143,22.19137716
1994,4,Cambridge Electric Light Company,canal electric unit #2 (a),,3003260,58,4458713,208814,,LU,7461973,MA,51780.34483,21.35255778
1994,4,Cambridge Electric Light Company,seabrook unit i (b),,8183316,8,386670,43581,,LU,8569986,MA,1022914.5,8.872444414
1994,4,Cambridge Electric Light Company,seabrook unit ii abandonment (b),,406120,,,,,OS,406120,MA,,
1994,4,Cambridge Electric Light Company,northeast utilities contracts (b),,7198642,,1022450,94622,,OS,8221092,MA,,10.8056266
1994,4,Cambridge Electric Light Company,central maine power contracts (b),,30022,,,,,OS,30022,MA,,
1994,4,Cambridge Electric Light Company,rowe yankee atomic electric (c),,1093149,,14683,,,LU,1107832,MA,,
1994,4,Cambridge Electric Light Company,connecticut yankee atomic electric (c),,7554339,26,1308507,171079,,LU,8862846,MA,290551.5,7.648554177
1994,4,Cambridge Electric Light Company,maine yankee atomic electric (c),,5129427,31,1115682,237851,,LU,6245109,MA,165465.3871,4.690676096
1994,4,Cambridge Electric Light Company,vermont yankee atomic electric (c),,3155375,11,506691,97100,,LU,3662066,MA,286852.2727,5.218238929
1994,4,Cambridge Electric Light Company,altresco - pittsfield,,11525212,28,3271002,219672,,LU,14796214,MA,411614.7143,14.89039113
1994,4,Cambridge Electric Light Company,new england power pool (d),,158966,,7064318,310350,,OS,7223284,MA,,22.76242307
1994,4,Cambridge Electric Light Company,purchase power accrual (e),,,,,38645,1827925,AD,1827925,MA,,0
1994,4,Cambridge Electric Light Company,total,,48791539,,22018749,1551045,1827925,,72638213,MA,,14.19607361
1995,4,Cambridge Electric Light Company,canal electric unit #1 (a),,1627845,28,1112599,46987,,LU,2740444,MA,58137.32143,23.67886862
1995,4,Cambridge Electric Light Company,canal electric unit #2 (a),,2648481,51,4790730,165667,,LU,7439211,MA,51931,28.91782914
1995,4,Cambridge Electric Light Company,seabrook unit i (b),,6452744,8,466518,58876,,LU,6919262,MA,806593,7.923738026
1995,4,Cambridge Electric Light Company,seabrook unit ii abandonment (b),,405960,,,,,OS,405960,MA,,
1995,4,Cambridge Electric Light Company,northeast utilities contracts (b),,38608,,,,,OS,38608,MA,,
1995,4,Cambridge Electric Light Company,hydro quebec contract (b),,13578,,200689,12288,,OS,214267,MA,,16.33211263
1995,4,Cambridge Electric Light Company,rowe yankee atomic electric (c),,822794,,22080,,,LU,844874,MA,,
1995,4,Cambridge Electric Light Company,connecticut yankee atomic electric (c),,8651277,26,864946,164793,,LU,9516223,MA,332741.4231,5.248681679
1995,4,Cambridge Electric Light Company,maine yankee atomic electric (c),,7099135,31,300018,7083,,LU,7399153,MA,229004.3548,42.35747565
1995,4,Cambridge Electric Light Company,vermont yankee atomic electric (c),,3615028,11,444847,86817,,LU,4059875,MA,328638.9091,5.123961897
1995,4,Cambridge Electric Light Company,altresco - pittsfield,,11457537,28,3224365,218605,,LU,14681902,MA,409197.75,14.74973125
1995,4,Cambridge Electric Light Company,new england power pool (d),,127905,,15147074,644205,,OS,15274979,MA,,23.51281657
1995,4,Cambridge Electric Light Company,purchase power accrual (e),,,,,2264,-120438,AD,-120438,MA,,0
1995,4,Cambridge Electric Light Company,total,,42960892,,26573866,1407585,-120438,,69414320,MA,,18.87904887
1996,4,Cambridge Electric Light Company,canal electric unit #1 (a),,1765453,28,3099802,104891,,LU,4865255,MA,63051.89286,29.55260223
1996,4,Cambridge Electric Light Company,canal electric unit #2 (a),,3372468,51,3063860,90738,,LU,6436328,MA,66126.82353,33.76600763
1996,4,Cambridge Electric Light Company,seabrook unit i (b),,7534232,8,347219,69158,,LU,7881451,MA,941779,5.02066283
1996,4,Cambridge Electric Light Company,seabrook unit ii (b),,405820,,,,,OS,405820,MA,,
1996,4,Cambridge Electric Light Company,hydro quebec contract (b),,64448,,1566153,77098,,OS,1630601,MA,,20.31379543
1996,4,Cambridge Electric Light Company,connecticut yankee atomic electric (c),,8600708,,668774,124660,,LU,9269482,MA,,5.364784213
1996,4,Cambridge Electric Light Company,maine yankee atomic electric (c),,5778113,31,891014,181546,,LU,6669127,MA,186390.7419,4.907924162
1996,4,Cambridge Electric Light Company,vermont yankee atomic electric (c),,3665397,11,423225,85473,,LU,4088622,MA,333217.9091,4.951563652
1996,4,Cambridge Electric Light Company,mmwec contract,,12000,,,,,OS,12000,MA,,
1996,4,Cambridge Electric Light Company,new england power contracts,,53581,,236681,11835,,OS,290262,MA,,19.99839459
1996,4,Cambridge Electric Light Company,northeast utilities contracts,,176000,,353041,14370,,OS,529041,MA,,24.56791928
1996,4,Cambridge Electric Light Company,altresco - pittsfield,,11247045,28,3541171,207970,,LU,14788216,MA,401680.1786,17.02731644
1996,4,Cambridge Electric Light Company,new england power pool (d),,171451,,11281799,454082,,OS,11453250,MA,,24.84529006
1996,4,Cambridge Electric Light Company,purchase power accrual (e),,,,,1449,-663485,AD,-663485,MA,,0
1996,4,Cambridge Electric Light Company,total,,42846716,,25472739,1423270,-663485,,67655970,MA,,17.89733431
1997,4,Cambridge Electric Light Company,canal electric unit #1 (a),,1706676,28,4082089,160494,,LU,5788765,MA,60952.71429,25.43452715
1997,4,Cambridge Electric Light Company,canal electric unit #2 (a),,3629000,51,6374770,219033,,LU,10003770,MA,71156.86275,29.10415326
1997,4,Cambridge Electric Light Company,seabrook unit i (b),,7481466,8,293710,55820,,LU,7775176,MA,935183.25,5.261734145
1997,4,Cambridge Electric Light Company,seabrook unit ii (b),,109760,,,,,OS,109760,MA,,
1997,4,Cambridge Electric Light Company,hydro quebec contract (b),,81087,,1193906,47464,,OS,1274993,MA,,25.15392719
1997,4,Cambridge Electric Light Company,maine yankee atomic electric (c),,8334987,,283336,,,LU,8618323,MA,,
1997,4,Cambridge Electric Light Company,vermont yankee atomic electric (c),,3462196,11,432715,96005,,LU,3894911,MA,314745.0909,4.507213166
1997,4,Cambridge Electric Light Company,boston edison contracts,,31500,,522,,,OS,32022,MA,,
1997,4,Cambridge Electric Light Company,new england power contracts,,25115,,,,,OS,25115,MA,,
1997,4,Cambridge Electric Light Company,northeast utilities contracts,,852219,,,,,OS,852219,MA,,
1997,4,Cambridge Electric Light Company,united illuminating contracts,,121200,,,,,OS,121200,MA,,
1997,4,Cambridge Electric Light Company,altresco - pittsfield,,11725708,28,4077997,227673,,LU,15803705,MA,418775.2857,17.91164082
1997,4,Cambridge Electric Light Company,iso new england (d),,699636,,14957433,639983,,OS,15657069,MA,,23.37160987
1997,4,Cambridge Electric Light Company,purchased power accrual (e),,,,,21962,1263667,AD,1263667,MA,,0
1997,4,Cambridge Electric Light Company,total,,38260550,,31696478,1468434,1263667,,71220695,MA,,21.5852248
1998,4,Cambridge Electric Light Company,canal electric unit #1 (a),,1726088,28,2848379,156346,,LU,4574467,MA,61646,18.2184322
