,report_year,utility_id_ferc1,utility_name_ferc1,dollar_value,expense_type
648,1994.0,3,Boston Edison Company,77016493.0,distribution_expenses
665,1994.0,3,Boston Edison Company,5420532.0,injuries_and_damages
764,1994.0,3,Boston Edison Company,27491813.0,transmission_expenses
785,1995.0,3,Boston Edison Company,78546963.0,distribution_expenses
802,1995.0,3,Boston Edison Company,12409279.0,injuries_and_damages
901,1995.0,3,Boston Edison Company,23312288.0,transmission_expenses
922,1996.0,3,Boston Edison Company,74191044.0,distribution_expenses
936,1996.0,3,Boston Edison Company,7396423.0,injuries_and_damages
1032,1996.0,3,Boston Edison Company,19946329.0,transmission_expenses
1052,1997.0,3,Boston Edison Company,78232991.0,distribution_expenses
1065,1997.0,3,Boston Edison Company,5733060.0,injuries_and_damages
1155,1997.0,3,Boston Edison Company,27006099.0,transmission_expenses
1172,1998.0,3,Boston Edison Company,79370513.0,distribution_expenses
1183,1998.0,3,Boston Edison Company,7877751.0,injuries_and_damages
1264,1998.0,3,Boston Edison Company,30860109.0,transmission_expenses
1284,1999.0,3,Boston Edison Company,71214727.0,distribution_expenses
1299,1999.0,3,Boston Edison Company,8439962.0,injuries_and_damages
1397,1999.0,3,Boston Edison Company,47375093.0,transmission_expenses
1418,2000.0,3,Boston Edison Company,81209736.0,distribution_expenses
1433,2000.0,3,Boston Edison Company,5675568.0,injuries_and_damages
1527,2000.0,3,Boston Edison Company,73039849.0,transmission_expenses
1548,2001.0,3,Boston Edison Company,80066475.0,distribution_expenses
1563,2001.0,3,Boston Edison Company,7335521.0,injuries_and_damages
1655,2001.0,3,Boston Edison Company,74105877.0,transmission_expenses
1676,2002.0,3,Boston Edison Company,83035151.0,distribution_expenses
1691,2002.0,3,Boston Edison Company,8476934.0,injuries_and_damages
1782,2002.0,3,Boston Edison Company,90150692.0,transmission_expenses
1803,2003.0,3,Boston Edison Company,73698039.0,distribution_expenses
1818,2003.0,3,Boston Edison Company,4820868.0,injuries_and_damages
1907,2003.0,3,Boston Edison Company,87742193.0,transmission_expenses
1925,2004.0,3,Boston Edison Company,73661534.0,distribution_expenses
1931,2004.0,3,Boston Edison Company,5787155.0,injuries_and_damages
1977,2004.0,3,Boston Edison Company,94602430.0,transmission_expenses
1994,2005.0,3,Boston Edison Company,81751959.0,distribution_expenses
2000,2005.0,3,Boston Edison Company,12242457.0,injuries_and_damages
2046,2005.0,3,Boston Edison Company,110238373.0,transmission_expenses
2063,2006.0,3,Boston Edison Company,86707718.0,distribution_expenses
2069,2006.0,3,Boston Edison Company,1209262.0,injuries_and_damages
2125,2006.0,3,Boston Edison Company,191950916.0,transmission_expenses
2146,1994.0,4,Cambridge Electric Light Company,2737037.0,distribution_expenses
2163,1994.0,4,Cambridge Electric Light Company,575886.0,injuries_and_damages
2262,1994.0,4,Cambridge Electric Light Company,7495219.0,transmission_expenses
2283,1995.0,4,Cambridge Electric Light Company,2850491.0,distribution_expenses
2300,1995.0,4,Cambridge Electric Light Company,-374754.0,injuries_and_damages
2399,1995.0,4,Cambridge Electric Light Company,7139927.0,transmission_expenses
2420,1996.0,4,Cambridge Electric Light Company,2981073.0,distribution_expenses
2437,1996.0,4,Cambridge Electric Light Company,419326.0,injuries_and_damages
2536,1996.0,4,Cambridge Electric Light Company,6487831.0,transmission_expenses
2553,1997.0,4,Cambridge Electric Light Company,4085006.0,distribution_expenses
2563,1997.0,4,Cambridge Electric Light Company,1012341.0,injuries_and_damages
2623,1997.0,4,Cambridge Electric Light Company,5611845.0,transmission_expenses
2638,1998.0,4,Cambridge Electric Light Company,4620717.0,distribution_expenses
2648,1998.0,4,Cambridge Electric Light Company,972906.0,injuries_and_damages
2710,1998.0,4,Cambridge Electric Light Company,6656303.0,transmission_expenses
2729,1999.0,4,Cambridge Electric Light Company,5194649.0,distribution_expenses
2744,1999.0,4,Cambridge Electric Light Company,-341418.0,injuries_and_damages
2839,1999.0,4,Cambridge Electric Light Company,8196491.0,transmission_expenses
2860,2000.0,4,Cambridge Electric Light Company,6073273.0,distribution_expenses
2875,2000.0,4,Cambridge Electric Light Company,336629.0,injuries_and_damages
2970,2000.0,4,Cambridge Electric Light Company,11421556.0,transmission_expenses
2991,2001.0,4,Cambridge Electric Light Company,5308578.0,distribution_expenses
3006,2001.0,4,Cambridge Electric Light Company,139655.0,injuries_and_damages
3098,2001.0,4,Cambridge Electric Light Company,11282735.0,transmission_expenses
3119,2002.0,4,Cambridge Electric Light Company,3315172.0,distribution_expenses
3134,2002.0,4,Cambridge Electric Light Company,-92200.0,injuries_and_damages
3226,2002.0,4,Cambridge Electric Light Company,13101702.0,transmission_expenses
3247,2003.0,4,Cambridge Electric Light Company,4151433.0,distribution_expenses
3262,2003.0,4,Cambridge Electric Light Company,303606.0,injuries_and_damages
3351,2003.0,4,Cambridge Electric Light Company,15258181.0,transmission_expenses
3369,2004.0,4,Cambridge Electric Light Company,3817192.0,distribution_expenses
3375,2004.0,4,Cambridge Electric Light Company,413844.0,injuries_and_damages
3420,2004.0,4,Cambridge Electric Light Company,21598035.0,transmission_expenses
3437,2005.0,4,Cambridge Electric Light Company,4699891.0,distribution_expenses
