,report_year,utility_id_ferc1,utility_name_ferc1,state,additions,ferc_account_label
399,1994,3,Boston Edison Company,MA,66942290.0,distribution_plant
463,1994,3,Boston Edison Company,MA,3042070.0,transmission_plant
478,1995,3,Boston Edison Company,MA,172015648.0,distribution_plant
542,1995,3,Boston Edison Company,MA,14524165.0,transmission_plant
557,1996,3,Boston Edison Company,MA,109504853.0,distribution_plant
621,1996,3,Boston Edison Company,MA,18396813.0,transmission_plant
636,1997,3,Boston Edison Company,MA,72209704.0,distribution_plant
700,1997,3,Boston Edison Company,MA,13670719.0,transmission_plant
714,1998,3,Boston Edison Company,MA,70179688.0,distribution_plant
762,1998,3,Boston Edison Company,MA,14620279.0,transmission_plant
776,1999,3,Boston Edison Company,MA,74426714.0,distribution_plant
837,1999,3,Boston Edison Company,MA,4154844.0,transmission_plant
852,2000,3,Boston Edison Company,MA,54535061.0,distribution_plant
911,2000,3,Boston Edison Company,MA,32546608.0,transmission_plant
926,2001,3,Boston Edison Company,MA,145586681.0,distribution_plant
985,2001,3,Boston Edison Company,MA,16932257.0,transmission_plant
1000,2002,3,Boston Edison Company,MA,138143796.0,distribution_plant
1059,2002,3,Boston Edison Company,MA,63501338.0,transmission_plant
1081,2003,3,Boston Edison Company,MA,165735336.0,distribution_plant
1140,2003,3,Boston Edison Company,MA,13246403.0,transmission_plant
1150,2004,3,Boston Edison Company,MA,154183064.0,distribution_plant
1181,2004,3,Boston Edison Company,MA,3688726.0,transmission_plant
1189,2005,3,Boston Edison Company,MA,153218228.0,distribution_plant
1220,2005,3,Boston Edison Company,MA,20968824.0,transmission_plant
1228,2006,3,Boston Edison Company,MA,134456256.0,distribution_plant
1258,2006,3,Boston Edison Company,MA,142191330.0,transmission_plant
1269,1994,4,Cambridge Electric Light Company,MA,3660490.0,distribution_plant
1333,1994,4,Cambridge Electric Light Company,MA,2634.0,transmission_plant
1348,1995,4,Cambridge Electric Light Company,MA,4013109.0,distribution_plant
1427,1996,4,Cambridge Electric Light Company,MA,3620023.0,distribution_plant
1491,1996,4,Cambridge Electric Light Company,MA,103938.0,transmission_plant
1504,1997,4,Cambridge Electric Light Company,MA,3523826.0,distribution_plant
1543,1997,4,Cambridge Electric Light Company,MA,192662.0,transmission_plant
1554,1998,4,Cambridge Electric Light Company,MA,5296468.0,distribution_plant
1593,1998,4,Cambridge Electric Light Company,MA,21845.0,transmission_plant
1606,1999,4,Cambridge Electric Light Company,MA,4267974.0,distribution_plant
1682,2000,4,Cambridge Electric Light Company,MA,3203727.0,distribution_plant
1758,2001,4,Cambridge Electric Light Company,MA,2009478.0,distribution_plant
1819,2001,4,Cambridge Electric Light Company,MA,2548746.0,transmission_plant
1834,2002,4,Cambridge Electric Light Company,MA,11294675.0,distribution_plant
1895,2002,4,Cambridge Electric Light Company,MA,-2694606.0,transmission_plant
1917,2003,4,Cambridge Electric Light Company,MA,10070039.0,distribution_plant
1978,2003,4,Cambridge Electric Light Company,MA,538189.0,transmission_plant
1988,2004,4,Cambridge Electric Light Company,MA,4633029.0,distribution_plant
2014,2004,4,Cambridge Electric Light Company,MA,10177275.0,transmission_plant
2020,2005,4,Cambridge Electric Light Company,MA,26308675.0,distribution_plant
2046,2005,4,Cambridge Electric Light Company,MA,4735771.0,transmission_plant
2052,2006,4,Cambridge Electric Light Company,MA,11786667.0,distribution_plant
2077,2006,4,Cambridge Electric Light Company,MA,-167112.0,transmission_plant
2119,1994,5,CANAL ELECTRIC COMPANY,MA,27455.0,transmission_plant
2180,1995,5,CANAL ELECTRIC COMPANY,MA,18037.0,transmission_plant
2264,1997,5,CANAL ELECTRIC COMPANY,MA,271338.0,transmission_plant
2302,1998,5,CANAL ELECTRIC COMPANY,MA,3375.0,transmission_plant
7173,1994,11,Commonwealth Electric Company,MA,16838897.0,distribution_plant
7234,1994,11,Commonwealth Electric Company,MA,6957144.0,transmission_plant
7249,1995,11,Commonwealth Electric Company,MA,22023069.0,distribution_plant
7310,1995,11,Commonwealth Electric Company,MA,5632600.0,transmission_plant
7325,1996,11,Commonwealth Electric Company,MA,16359004.0,distribution_plant
7386,1996,11,Commonwealth Electric Company,MA,3195641.0,transmission_plant
7399,1997,11,Commonwealth Electric Company,MA,18422368.0,distribution_plant
7443,1997,11,Commonwealth Electric Company,MA,1342507.0,transmission_plant
7455,1998,11,Commonwealth Electric Company,MA,18563087.0,distribution_plant
7498,1998,11,Commonwealth Electric Company,MA,7228133.0,transmission_plant
7511,1999,11,Commonwealth Electric Company,MA,18402050.0,distribution_plant
7570,1999,11,Commonwealth Electric Company,MA,271283.0,transmission_plant
7585,2000,11,Commonwealth Electric Company,MA,3955433.0,distribution_plant
7644,2000,11,Commonwealth Electric Company,MA,7070440.0,transmission_plant
7659,2001,11,Commonwealth Electric Company,MA,26612046.0,distribution_plant
7718,2001,11,Commonwealth Electric Company,MA,8387980.0,transmission_plant
7733,2002,11,Commonwealth Electric Company,MA,32394678.0,distribution_plant
7792,2002,11,Commonwealth Electric Company,MA,5047953.0,transmission_plant
7814,2003,11,Commonwealth Electric Company,MA,42363553.0,distribution_plant
7873,2003,11,Commonwealth Electric Company,MA,6699967.0,transmission_plant
7883,2004,11,Commonwealth Electric Company,MA,34188938.0,distribution_plant
7914,2004,11,Commonwealth Electric Company,MA,4770246.0,transmission_plant
7922,2005,11,Commonwealth Electric Company,MA,38565136.0,distribution_plant
7953,2005,11,Commonwealth Electric Company,MA,6079409.0,transmission_plant
7961,2006,11,Commonwealth Electric Company,MA,57486018.0,distribution_plant
7992,2006,11,Commonwealth Electric Company,MA,3242612.0,transmission_plant
8719,1994,13,Eastern Edison Company,MA,10314604.0,distribution_plant
8755,1994,13,Eastern Edison Company,MA,226001.0,transmission_plant
8762,1995,13,Eastern Edison Company,MA,8241972.0,distribution_plant
8798,1995,13,Eastern Edison Company,MA,148698.0,transmission_plant
8805,1996,13,Eastern Edison Company,MA,7250588.0,distribution_plant
8843,1996,13,Eastern Edison Company,MA,103486.0,transmission_plant
8848,1997,13,Eastern Edison Company,MA,9524873.0,distribution_plant
8889,1997,13,Eastern Edison Company,MA,595676.0,transmission_plant
8894,1998,13,Eastern Edison Company,MA,8360581.0,distribution_plant
8923,1998,13,Eastern Edison Company,MA,783978.0,transmission_plant
8933,1999,13,Eastern Edison Company,MA,8343400.0,distribution_plant
8991,1999,13,Eastern Edison Company,MA,76668.0,transmission_plant
9006,2000,13,Eastern Edison Company,MA,3661461.0,distribution_plant
16457,1994,29,Montaup Electric Company,MA,3294307.0,transmission_plant
16536,1995,29,Montaup Electric Company,MA,639278.0,transmission_plant
16592,1996,29,Montaup Electric Company,MA,427693.0,transmission_plant
16643,1997,29,Montaup Electric Company,MA,664391.0,transmission_plant
16688,1998,29,Montaup Electric Company,MA,432861.0,transmission_plant
16760,1999,29,Montaup Electric Company,MA,941745.0,transmission_plant
16835,2000,29,Montaup Electric Company,MA,3219.0,transmission_plant
21522,1994,41,Texas-New Mexico Power Company,TX,23660021.0,distribution_plant
21553,1994,41,Texas-New Mexico Power Company,TX,3355052.0,transmission_plant
21562,1995,41,Texas-New Mexico Power Company,TX,20260994.0,distribution_plant
21615,1995,41,Texas-New Mexico Power Company,TX,3718645.0,transmission_plant
21626,1996,41,Texas-New Mexico Power Company,TX,25653596.0,distribution_plant
21668,1996,41,Texas-New Mexico Power Company,TX,462873.0,transmission_plant
21677,1997,41,Texas-New Mexico Power Company,TX,22518674.0,distribution_plant
21708,1997,41,Texas-New Mexico Power Company,TX,1211624.0,transmission_plant
21715,1998,41,Texas-New Mexico Power Company,TX,28117186.0,distribution_plant
21745,1998,41,Texas-New Mexico Power Company,TX,1509602.0,transmission_plant
21756,1999,41,Texas-New Mexico Power Company,TX,30706695.0,distribution_plant
21816,1999,41,Texas-New Mexico Power Company,TX,3302118.0,transmission_plant
21831,2000,41,Texas-New Mexico Power Company,TX,33985458.0,distribution_plant
21891,2000,41,Texas-New Mexico Power Company,TX,4193519.0,transmission_plant
21906,2001,41,Texas-New Mexico Power Company,TX,28255387.0,distribution_plant
21966,2001,41,Texas-New Mexico Power Company,TX,4588320.0,transmission_plant
21981,2002,41,Texas-New Mexico Power Company,TX,25578120.0,distribution_plant
22041,2002,41,Texas-New Mexico Power Company,TX,1808165.0,transmission_plant
22063,2003,41,Texas-New Mexico Power Company,TX,29864975.0,distribution_plant
22121,2003,41,Texas-New Mexico Power Company,TX,7048039.0,transmission_plant
22131,2004,41,Texas-New Mexico Power Company,TX,31488020.0,distribution_plant
22156,2004,41,Texas-New Mexico Power Company,TX,17555055.0,transmission_plant
22162,2005,41,Texas-New Mexico Power Company,TX,29467103.0,distribution_plant
22187,2005,41,Texas-New Mexico Power Company,TX,8363099.0,transmission_plant
22194,2006,41,Texas-New Mexico Power Company,TX,30207232.0,distribution_plant
22219,2006,41,Texas-New Mexico Power Company,TX,6614108.0,transmission_plant
27408,1998,53,"Black Creek Hydro, Inc.",WA,2543.0,transmission_plant
30068,1999,61,Inland Power & Light Company,WA,3091732.0,distribution_plant
30127,1999,61,Inland Power & Light Company,WA,15299.0,transmission_plant
30142,2000,61,Inland Power & Light Company,WA,4347747.0,distribution_plant
30201,2000,61,Inland Power & Light Company,WA,18529.0,transmission_plant
30216,2001,61,Inland Power & Light Company,WA,5586186.0,distribution_plant
30275,2001,61,Inland Power & Light Company,WA,3616.0,transmission_plant
30290,2002,61,Inland Power & Light Company,WA,5084918.0,distribution_plant
30349,2002,61,Inland Power & Light Company,WA,41945.0,transmission_plant
30371,2003,61,Inland Power & Light Company,WA,4733213.0,distribution_plant
30430,2003,61,Inland Power & Light Company,WA,159060.0,transmission_plant
30440,2004,61,Inland Power & Light Company,WA,5017642.0,distribution_plant
30466,2004,61,Inland Power & Light Company,WA,791491.0,transmission_plant
38482,1994,155,Southern California Edison Company,CA,311141107.0,distribution_plant
38546,1994,155,Southern California Edison Company,CA,74247985.0,transmission_plant
38561,1996,155,Southern California Edison Company,CA,310420537.0,distribution_plant
38625,1996,155,Southern California Edison Company,CA,100382434.0,transmission_plant
38640,1997,155,Southern California Edison Company,CA,318695747.0,distribution_plant
38704,1997,155,Southern California Edison Company,CA,60053186.0,transmission_plant
38719,1998,155,Southern California Edison Company,CA,354492154.0,distribution_plant
38775,1998,155,Southern California Edison Company,CA,103779509.0,transmission_plant
38790,1999,155,Southern California Edison Company,CA,452322071.0,distribution_plant
38854,1999,155,Southern California Edison Company,CA,148669915.0,transmission_plant
38869,2000,155,Southern California Edison Company,CA,460647610.0,distribution_plant
38933,2000,155,Southern California Edison Company,CA,167481935.0,transmission_plant
38948,2001,155,Southern California Edison Company,CA,353028749.0,distribution_plant
39012,2001,155,Southern California Edison Company,CA,108153529.0,transmission_plant
39027,2002,155,Southern California Edison Company,CA,577386987.0,distribution_plant
39091,2002,155,Southern California Edison Company,CA,145105242.0,transmission_plant
39113,2003,155,Southern California Edison Company,CA,604075462.0,distribution_plant
39177,2003,155,Southern California Edison Company,CA,168002508.0,transmission_plant
39193,2004,155,Southern California Edison Company,CA,630618999.0,distribution_plant
39248,2004,155,Southern California Edison Company,CA,255045782.0,transmission_plant
39269,2005,155,Southern California Edison Company,CA,794556864.0,distribution_plant
39324,2005,155,Southern California Edison Company,CA,305953964.0,transmission_plant
39345,2006,155,Southern California Edison Company,CA,880775420.0,distribution_plant
39400,2006,155,Southern California Edison Company,CA,355829337.0,transmission_plant
39421,2007,155,Southern California Edison Company,CA,925981114.0,distribution_plant
39477,2007,155,Southern California Edison Company,CA,307343181.0,transmission_plant
39498,2008,155,Southern California Edison Company,CA,694821548.0,distribution_plant
39554,2008,155,Southern California Edison Company,CA,125696405.0,transmission_plant
39575,2009,155,Southern California Edison Company,CA,1089266804.0,distribution_plant
39631,2009,155,Southern California Edison Company,CA,835155700.0,transmission_plant
39652,2010,155,Southern California Edison Company,CA,1388422546.0,distribution_plant
39708,2010,155,Southern California Edison Company,CA,402079316.0,transmission_plant
39728,2011,155,Southern California Edison Company,CA,1322852106.0,distribution_plant
39784,2011,155,Southern California Edison Company,CA,369333239.0,transmission_plant
39804,2012,155,Southern California Edison Company,CA,1204491375.0,distribution_plant
39860,2012,155,Southern California Edison Company,CA,1023433338.0,transmission_plant
39881,2013,155,Southern California Edison Company,CA,1137077960.0,distribution_plant
39937,2013,155,Southern California Edison Company,CA,2118269358.0,transmission_plant
39957,2014,155,Southern California Edison Company,CA,1534332870.0,distribution_plant
40013,2014,155,Southern California Edison Company,CA,1314334297.0,transmission_plant
40032,2015,155,Southern California Edison Company,CA,1822202964.0,distribution_plant
40089,2015,155,Southern California Edison Company,CA,1242955246.0,transmission_plant
40107,2016,155,Southern California Edison Company,CA,1615935657.0,distribution_plant
40164,2016,155,Southern California Edison Company,CA,1033844125.0,transmission_plant
40182,2017,155,Southern California Edison Company,CA,1608679807.0,distribution_plant
40238,2017,155,Southern California Edison Company,CA,646614145.0,transmission_plant
40256,2018,155,Southern California Edison Company,CA,1742270094.0,distribution_plant
40314,2018,155,Southern California Edison Company,CA,737487386.0,transmission_plant
40331,2019,155,Southern California Edison Company,CA,2265493233.0,distribution_plant
40387,2019,155,Southern California Edison Company,CA,1015401939.0,transmission_plant
40404,2020,155,Southern California Edison Company,CA,2016173619.0,distribution_plant
40460,2020,155,Southern California Edison Company,CA,1033154700.0,transmission_plant
40485,2021,155,Southern California Edison Company,CA,2462155376.0,distribution_plant
40555,2021,155,Southern California Edison Company,CA,1420267317.0,transmission_plant
50289,1994,162,"Puget Sound Energy, Inc.",WA,87247137.0,distribution_plant
50353,1994,162,"Puget Sound Energy, Inc.",WA,95598223.0,transmission_plant
50368,1995,162,"Puget Sound Energy, Inc.",WA,67134995.0,distribution_plant
50432,1995,162,"Puget Sound Energy, Inc.",WA,20278382.0,transmission_plant
50446,1996,162,"Puget Sound Energy, Inc.",WA,73388745.0,distribution_plant
50502,1996,162,"Puget Sound Energy, Inc.",WA,14578341.0,transmission_plant
50515,1997,162,"Puget Sound Energy, Inc.",WA,73860337.0,distribution_plant
50571,1997,162,"Puget Sound Energy, Inc.",WA,34304826.0,transmission_plant
50584,1998,162,"Puget Sound Energy, Inc.",WA,62374209.0,distribution_plant
50636,1998,162,"Puget Sound Energy, Inc.",WA,7808567.0,transmission_plant
50650,1999,162,"Puget Sound Energy, Inc.",WA,103827749.0,distribution_plant
50713,1999,162,"Puget Sound Energy, Inc.",WA,24630932.0,transmission_plant
50728,2000,162,"Puget Sound Energy, Inc.",WA,136466126.0,distribution_plant
50791,2000,162,"Puget Sound Energy, Inc.",WA,18791552.0,transmission_plant
50806,2001,162,"Puget Sound Energy, Inc.",WA,111335801.0,distribution_plant
50869,2001,162,"Puget Sound Energy, Inc.",WA,13586955.0,transmission_plant
50884,2002,162,"Puget Sound Energy, Inc.",WA,100266274.0,distribution_plant
50947,2002,162,"Puget Sound Energy, Inc.",WA,514841.0,transmission_plant
50969,2003,162,"Puget Sound Energy, Inc.",WA,73778561.0,distribution_plant
51032,2003,162,"Puget Sound Energy, Inc.",WA,207342.0,transmission_plant
51047,2004,162,"Puget Sound Energy, Inc.",WA,109298499.0,distribution_plant
51100,2004,162,"Puget Sound Energy, Inc.",WA,2220470.0,transmission_plant
51116,2005,162,"Puget Sound Energy, Inc.",WA,155734716.0,distribution_plant
51168,2005,162,"Puget Sound Energy, Inc.",WA,6081924.0,transmission_plant
51184,2006,162,"Puget Sound Energy, Inc.",WA,169229061.0,distribution_plant
51236,2006,162,"Puget Sound Energy, Inc.",WA,37177707.0,transmission_plant
51252,2007,162,"Puget Sound Energy, Inc.",WA,193076089.0,distribution_plant
51304,2007,162,"Puget Sound Energy, Inc.",WA,6547703.0,transmission_plant
51320,2008,162,"Puget Sound Energy, Inc.",WA,189467842.0,distribution_plant
51372,2008,162,"Puget Sound Energy, Inc.",WA,18736412.0,transmission_plant
51388,2009,162,"Puget Sound Energy, Inc.",WA,215492939.0,distribution_plant
51440,2009,162,"Puget Sound Energy, Inc.",WA,21713568.0,transmission_plant
51456,2010,162,"Puget Sound Energy, Inc.",WA,184001883.0,distribution_plant
51508,2010,162,"Puget Sound Energy, Inc.",WA,56118216.0,transmission_plant
51524,2011,162,"Puget Sound Energy, Inc.",WA,127935425.0,distribution_plant
51575,2011,162,"Puget Sound Energy, Inc.",WA,57430095.0,transmission_plant
51591,2012,162,"Puget Sound Energy, Inc.",WA,242446194.0,distribution_plant
51643,2012,162,"Puget Sound Energy, Inc.",WA,76275422.0,transmission_plant
51660,2013,162,"Puget Sound Energy, Inc.",WA,86239877.0,distribution_plant
51711,2013,162,"Puget Sound Energy, Inc.",WA,49244791.0,transmission_plant
51728,2014,162,"Puget Sound Energy, Inc.",WA,163237500.0,distribution_plant
51779,2014,162,"Puget Sound Energy, Inc.",WA,98082426.0,transmission_plant
